transaction_id,order_id,user_id,transaction_date,payment_method,amount,transaction_status,transaction_reference
40033,30033,11027,2026-08-12,Credit Card,67409.95,Failed,TXN00040033
40034,30034,13071,2025-06-29,Credit Card,19963.03,Success,TXN00040034
40035,30035,10762,2025-04-09,UPI,57173.0,Success,TXN00040035
40036,30036,12631,2025-10-05,Debit Card,22304.15,Success,TXN00040036
40037,30037,14367,2025-05-14,Net Banking,33265.72,Success,TXN00040037
40038,30038,12006,2026-04-02,Credit Card,4965.62,Success,TXN00040038
40039,30039,14823,2026-01-02,UPI,21690.5,Pending,TXN00040039
40040,30040,10434,2026-02-24,Debit Card,67485.6,Success,TXN00040040
40041,30041,14618,2025-01-14,UPI,27250.58,Failed,TXN00040041
40042,30042,12917,2025-04-08,UPI,103766.12,Success,TXN00040042
40043,30043,13963,2025-09-16,Debit Card,19862.49,Success,TXN00040043
40044,30044,12538,2025-08-26,UPI,49973.71,Failed,TXN00040044
40045,30045,14906,2025-12-03,UPI,13920.81,Failed,TXN00040045
40046,30046,11223,2025-02-14,UPI,1797.39,Success,TXN00040046
40047,30047,14532,2025-12-06,UPI,61032.16,Success,TXN00040047
40048,30048,12265,2025-04-02,Net Banking,9797.18,Success,TXN00040048
40049,30049,11534,2026-04-27,Wallet,56612.96,Failed,TXN00040049
40050,30050,14794,2026-04-28,UPI,8840.45,Success,TXN00040050
40051,30051,10792,2026-05-04,UPI,5589.39,Success,TXN00040051
40052,30052,13157,2026-07-21,UPI,212751.18,Failed,TXN00040052
40053,30053,11053,2026-07-28,Credit Card,11997.24,Success,TXN00040053
40054,30054,12085,2026-04-06,UPI,2773.75,Success,TXN00040054
40055,30055,12555,2026-01-16,Net Banking,1815.13,Refunded,TXN00040055
40056,30056,13604,2025-07-10,Debit Card,28779.6,Success,TXN00040056
40057,30057,11682,2026-08-09,UPI,14327.62,Success,TXN00040057
40058,30058,12308,2025-08-02,UPI,61552.93,Success,TXN00040058
40059,30059,13723,2025-03-31,UPI,11138.62,Success,TXN00040059
40060,30060,13327,2025-12-12,UPI,44601.12,Success,TXN00040060
40061,30061,12037,2025-10-10,UPI,45289.34,Failed,TXN00040061
40062,30062,13158,2026-02-08,UPI,256821.75,Success,TXN00040062
40063,30063,13726,2025-12-12,Credit Card,61522.55,Failed,TXN00040063
40064,30064,12682,2025-09-09,Wallet,70052.69,Success,TXN00040064
40065,30065,11965,2025-11-14,Credit Card,354828.45,Refunded,TXN00040065
40066,30066,12460,2026-05-25,Wallet,26288.64,Success,TXN00040066
40067,30067,10422,2025-11-26,UPI,4668.24,Success,TXN00040067
40068,30068,10959,2026-01-29,UPI,29984.26,Success,TXN00040068
40069,30069,12047,2026-06-19,UPI,133898.78,Success,TXN00040069
40070,30070,10595,2025-01-15,UPI,64724.0,Success,TXN00040070
40071,30071,12218,2026-08-09,UPI,51880.06,Success,TXN00040071
40072,30072,11349,2025-07-30,UPI,6711.38,Failed,TXN00040072
40073,30073,12830,2025-10-30,UPI,33425.01,Success,TXN00040073
40074,30074,10228,2026-05-13,UPI,23007.91,Success,TXN00040074
40075,30075,10005,2025-10-01,UPI,4390.75,Failed,TXN00040075
40076,30076,10152,2026-07-04,Credit Card,18045.42,Success,TXN00040076
40077,30077,12269,2025-04-28,UPI,286923.12,Success,TXN00040077
40078,30078,14253,2025-03-28,Credit Card,11863.39,Success,TXN00040078
40079,30079,13330,2025-09-25,UPI,258990.7,Success,TXN00040079
40080,30080,13078,2025-03-23,Credit Card,18961.0,Success,TXN00040080
40081,30081,12326,2026-01-12,Debit Card,18784.98,Success,TXN00040081
40082,30082,13972,2025-11-05,Wallet,225513.36,Success,TXN00040082
40083,30083,11005,2026-04-03,Net Banking,9693.12,Pending,TXN00040083
40084,30084,14977,2025-08-29,Debit Card,2696.25,Failed,TXN00040084
40085,30085,13661,2025-11-11,Wallet,57252.68,Success,TXN00040085
40086,30086,13519,2025-08-11,UPI,34083.17,Failed,TXN00040086
40087,30087,10995,2025-04-20,Debit Card,283916.35,Success,TXN00040087
40088,30088,11737,2026-05-21,Wallet,322806.65,Success,TXN00040088
40089,30089,11623,2025-03-07,Debit Card,194554.3,Failed,TXN00040089
40090,30090,12628,2026-03-31,UPI,11432.54,Success,TXN00040090
40091,30091,11954,2025-11-17,Net Banking,6958.88,Success,TXN00040091
40092,30092,14709,2026-05-15,UPI,119111.57,Success,TXN00040092
40093,30093,13493,2025-09-15,UPI,11798.67,Success,TXN00040093
40094,30094,11926,2025-06-08,Net Banking,83129.14,Refunded,TXN00040094
40095,30095,10173,2026-03-11,UPI,61771.92,Failed,TXN00040095
40096,30096,11193,2026-06-24,Debit Card,58864.06,Failed,TXN00040096
40097,30097,11127,2026-04-16,Net Banking,8122.06,Success,TXN00040097
40098,30098,10228,2026-04-27,UPI,10271.25,Success,TXN00040098
40099,30099,13644,2025-07-04,Credit Card,6743.19,Success,TXN00040099
40100,30100,11987,2026-05-11,UPI,235225.98,Success,TXN00040100
40101,30101,13729,2025-12-17,Credit Card,53057.35,Success,TXN00040101
40102,30102,11235,2025-07-21,Credit Card,15856.82,Success,TXN00040102
40103,30103,13767,2025-07-27,Net Banking,8096.58,Success,TXN00040103
40104,30104,14617,2025-01-31,Net Banking,56113.73,Success,TXN00040104
40105,30105,13716,2025-02-21,Debit Card,56363.64,Failed,TXN00040105
40106,30106,14522,2025-12-24,Debit Card,25817.72,Failed,TXN00040106
40107,30107,12122,2025-04-17,UPI,48991.83,Success,TXN00040107
40108,30108,10343,2025-09-27,Credit Card,19780.84,Failed,TXN00040108
40109,30109,14467,2026-05-29,UPI,50583.98,Success,TXN00040109
40110,30110,12932,2026-05-19,UPI,71023.95,Failed,TXN00040110
40111,30111,14318,2026-08-25,Credit Card,56386.0,Refunded,TXN00040111
40112,30112,14736,2025-02-08,UPI,136869.58,Success,TXN00040112
40113,30113,11359,2025-08-26,UPI,47709.32,Success,TXN00040113
40114,30114,12422,2025-02-16,UPI,12203.95,Success,TXN00040114
40115,30115,14833,2025-04-17,UPI,28245.24,Failed,TXN00040115
40116,30116,13175,2026-06-24,UPI,64008.6,Success,TXN00040116
40117,30117,10738,2025-01-24,UPI,186388.0,Success,TXN00040117
40118,30118,14661,2025-05-16,UPI,36790.04,Success,TXN00040118
40119,30119,11027,2025-01-30,UPI,17018.91,Success,TXN00040119
40120,30120,14640,2025-05-28,Credit Card,23715.45,Success,TXN00040120
40121,30121,11104,2026-06-20,UPI,78718.05,Success,TXN00040121
40122,30122,12684,2025-02-15,UPI,4344.28,Success,TXN00040122
40123,30123,14945,2025-02-24,Net Banking,207375.06,Success,TXN00040123
40124,30124,10396,2026-05-13,UPI,77053.93,Success,TXN00040124
40125,30125,12940,2026-05-23,UPI,11760.68,Success,TXN00040125
40126,30126,14485,2025-01-30,Credit Card,23912.58,Success,TXN00040126
40127,30127,13332,2025-05-12,UPI,7232.79,Success,TXN00040127
40128,30128,11535,2025-05-09,Debit Card,19569.19,Success,TXN00040128
40129,30129,10045,2025-07-27,Credit Card,13465.35,Success,TXN00040129
40130,30130,11980,2025-07-24,Credit Card,31965.98,Failed,TXN00040130
40131,30131,11865,2025-11-06,UPI,10040.31,Success,TXN00040131
40132,30132,11808,2025-02-18,Debit Card,28232.86,Success,TXN00040132
40133,30133,12275,2025-08-12,Wallet,167787.3,Success,TXN00040133
40134,30134,14445,2025-01-20,Wallet,48291.97,Success,TXN00040134
40135,30135,12161,2025-01-08,Debit Card,6748.92,Failed,TXN00040135
40136,30136,13102,2025-06-14,UPI,40829.89,Success,TXN00040136
40137,30137,12324,2026-07-06,Net Banking,25448.58,Failed,TXN00040137
40138,30138,13434,2025-03-04,Wallet,4110.96,Success,TXN00040138
40139,30139,14822,2026-05-03,UPI,254759.41,Success,TXN00040139
40140,30140,13508,2025-01-03,Net Banking,15876.22,Failed,TXN00040140
40141,30141,10804,2026-06-22,UPI,6584.24,Success,TXN00040141
40142,30142,12070,2026-01-27,Credit Card,90871.88,Failed,TXN00040142
40143,30143,14481,2025-01-28,Wallet,69337.91,Success,TXN00040143
40144,30144,10491,2025-09-05,Wallet,97964.59,Failed,TXN00040144
40145,30145,11480,2025-09-28,Credit Card,11248.2,Failed,TXN00040145
40146,30146,12936,2025-05-13,Wallet,26373.45,Refunded,TXN00040146
40147,30147,11704,2026-02-19,UPI,42974.59,Failed,TXN00040147
40148,30148,14317,2025-10-28,Debit Card,119505.33,Success,TXN00040148
40149,30149,13666,2026-06-14,Credit Card,13360.99,Failed,TXN00040149
40150,30150,12013,2026-07-23,Credit Card,9002.62,Success,TXN00040150
40151,30151,14687,2025-12-03,UPI,29519.1,Success,TXN00040151
40152,30152,14909,2025-05-14,UPI,52166.76,Success,TXN00040152
40153,30153,13231,2025-05-02,Debit Card,16747.38,Success,TXN00040153
40154,30154,10143,2025-05-19,Debit Card,119505.33,Success,TXN00040154
40155,30155,11850,2025-07-21,Debit Card,3813.73,Success,TXN00040155
40156,30156,14021,2026-02-08,UPI,115748.15,Failed,TXN00040156
40157,30157,10045,2026-03-07,Debit Card,13443.59,Success,TXN00040157
40158,30158,10451,2025-10-26,Credit Card,55683.24,Success,TXN00040158
40159,30159,11260,2026-07-20,Debit Card,35096.62,Success,TXN00040159
40160,30160,11004,2026-01-12,UPI,84752.56,Success,TXN00040160
40161,30161,14778,2026-07-24,Credit Card,16555.32,Success,TXN00040161
40162,30162,13352,2026-05-12,UPI,86909.66,Success,TXN00040162
40163,30163,11997,2025-06-24,Wallet,64807.74,Success,TXN00040163
40164,30164,13675,2025-05-03,Wallet,47230.83,Success,TXN00040164
40165,30165,13489,2026-07-06,Credit Card,205457.4,Success,TXN00040165
40166,30166,14889,2025-10-27,UPI,3167.92,Success,TXN00040166
40167,30167,13654,2025-08-15,Credit Card,17707.95,Success,TXN00040167
40168,30168,13033,2026-04-11,UPI,7202.1,Success,TXN00040168
40169,30169,11495,2025-12-26,UPI,284117.94,Success,TXN00040169
40170,30170,11073,2025-09-02,Wallet,10061.59,Failed,TXN00040170
40171,30171,14113,2026-05-16,UPI,49407.44,Success,TXN00040171
40172,30172,14245,2026-05-24,Net Banking,92300.92,Failed,TXN00040172
40173,30173,11579,2026-04-25,UPI,44495.1,Success,TXN00040173
40174,30174,11236,2025-03-20,Credit Card,30477.75,Failed,TXN00040174
40175,30175,11740,2026-06-08,UPI,29092.37,Success,TXN00040175
40176,30176,11016,2025-01-19,Credit Card,3152.88,Failed,TXN00040176
40177,30177,14813,2026-02-01,Debit Card,3178.48,Success,TXN00040177
40178,30178,12966,2025-02-11,Net Banking,21025.02,Success,TXN00040178
40179,30179,11560,2026-08-25,UPI,10022.97,Success,TXN00040179
40180,30180,11569,2025-01-02,Debit Card,23901.19,Success,TXN00040180
40181,30181,11987,2025-04-30,UPI,75049.86,Failed,TXN00040181
40182,30182,11511,2025-06-27,Wallet,5667.77,Success,TXN00040182
40183,30183,14576,2025-07-27,UPI,10162.85,Success,TXN00040183
40184,30184,13857,2025-06-05,UPI,37383.3,Failed,TXN00040184
40185,30185,11712,2026-08-14,Debit Card,300184.91,Success,TXN00040185
40186,30186,14140,2025-02-09,Credit Card,24786.22,Success,TXN00040186
40187,30187,13528,2025-12-19,UPI,50964.48,Success,TXN00040187
40188,30188,14971,2026-04-20,UPI,16695.17,Success,TXN00040188
40189,30189,13869,2025-10-05,Net Banking,48535.51,Failed,TXN00040189
40190,30190,14452,2025-01-08,UPI,74722.35,Pending,TXN00040190
40191,30191,14570,2025-06-03,Wallet,86113.1,Success,TXN00040191
40192,30192,13670,2026-08-26,Net Banking,38677.76,Failed,TXN00040192
40193,30193,13645,2026-04-16,UPI,123613.65,Success,TXN00040193
40194,30194,12161,2025-05-01,UPI,21784.55,Success,TXN00040194
40195,30195,11502,2025-02-26,Credit Card,252044.35,Success,TXN00040195
40196,30196,10815,2025-08-11,Debit Card,53162.93,Success,TXN00040196
40197,30197,14066,2025-04-30,UPI,64991.03,Success,TXN00040197
40198,30198,13326,2025-07-21,UPI,56463.12,Success,TXN00040198
40199,30199,14497,2025-09-19,Credit Card,27280.47,Refunded,TXN00040199
40200,30200,11324,2025-11-17,Credit Card,42279.89,Success,TXN00040200
40201,30201,10005,2025-04-27,Debit Card,80396.24,Success,TXN00040201
40202,30202,13518,2025-10-04,UPI,8475.58,Success,TXN00040202
40203,30203,11259,2025-02-28,Debit Card,24641.86,Failed,TXN00040203
40204,30204,12035,2025-10-20,UPI,56064.39,Failed,TXN00040204
40205,30205,10200,2025-02-23,Credit Card,19261.98,Failed,TXN00040205
40206,30206,11706,2026-08-11,UPI,45838.82,Success,TXN00040206
40207,30207,13942,2025-02-07,Net Banking,14064.2,Failed,TXN00040207
40208,30208,13932,2026-06-12,Credit Card,41735.26,Success,TXN00040208
40209,30209,12069,2025-11-27,UPI,21670.41,Success,TXN00040209
40210,30210,13759,2026-05-14,UPI,12401.01,Failed,TXN00040210
40211,30211,13146,2026-05-26,Net Banking,29092.37,Success,TXN00040211
40212,30212,12844,2025-07-31,Wallet,77336.07,Failed,TXN00040212
40213,30213,12197,2025-01-26,Debit Card,17104.71,Failed,TXN00040213
40214,30214,10625,2025-06-13,Debit Card,220562.15,Success,TXN00040214
40215,30215,12134,2025-06-18,UPI,47680.8,Refunded,TXN00040215
40216,30216,12579,2026-02-26,Debit Card,15258.34,Success,TXN00040216
40217,30217,10692,2025-06-29,UPI,57312.53,Success,TXN00040217
40218,30218,12598,2025-04-10,Net Banking,44041.41,Pending,TXN00040218
40219,30219,10814,2025-12-02,Credit Card,124211.7,Refunded,TXN00040219
40220,30220,11628,2026-01-09,Net Banking,176579.36,Failed,TXN00040220
40221,30221,14617,2026-07-01,UPI,17711.46,Success,TXN00040221
40222,30222,13593,2026-05-07,UPI,11795.67,Pending,TXN00040222
40223,30223,12581,2025-09-23,Net Banking,44111.05,Success,TXN00040223
40224,30224,13933,2026-05-12,Net Banking,54826.59,Refunded,TXN00040224
40225,30225,10296,2025-08-04,UPI,350406.04,Failed,TXN00040225
40226,30226,13252,2025-12-26,UPI,9168.39,Failed,TXN00040226
40227,30227,11155,2025-01-14,UPI,65208.45,Success,TXN00040227
40228,30228,13981,2026-06-29,Credit Card,7444.59,Refunded,TXN00040228
40229,30229,10533,2025-07-12,UPI,20949.07,Success,TXN00040229
40230,30230,10888,2025-02-16,Wallet,17680.91,Success,TXN00040230
40231,30231,13273,2025-11-16,Wallet,35907.86,Failed,TXN00040231
40232,30232,12926,2026-07-22,Credit Card,191078.14,Success,TXN00040232
40233,30233,12433,2026-05-25,Wallet,19871.16,Success,TXN00040233
40234,30234,13598,2025-10-12,UPI,42275.0,Failed,TXN00040234
40235,30235,12421,2026-04-04,UPI,3180.73,Success,TXN00040235
40236,30236,13236,2025-09-19,UPI,53480.02,Success,TXN00040236
40237,30237,14619,2025-01-11,Debit Card,33496.63,Success,TXN00040237
40238,30238,10835,2025-08-03,Credit Card,5030.8,Pending,TXN00040238
40239,30239,11378,2025-01-11,Debit Card,34112.22,Success,TXN00040239
40240,30240,13481,2025-05-20,Wallet,9104.66,Failed,TXN00040240
40241,30241,14607,2025-05-18,Credit Card,212264.32,Failed,TXN00040241
40242,30242,10212,2025-02-23,Credit Card,4726.73,Success,TXN00040242
40243,30243,10927,2026-06-30,Debit Card,30766.85,Pending,TXN00040243
40244,30244,12673,2026-06-11,Debit Card,48972.96,Failed,TXN00040244
40245,30245,14033,2025-11-19,Wallet,16161.55,Success,TXN00040245
40246,30246,10345,2026-02-03,Credit Card,10235.49,Pending,TXN00040246
40247,30247,13083,2026-07-31,UPI,30790.45,Failed,TXN00040247
40248,30248,14432,2026-07-20,UPI,114021.94,Success,TXN00040248
40249,30249,11702,2025-07-29,Credit Card,135043.24,Success,TXN00040249
40250,30250,14701,2026-07-23,Debit Card,62916.4,Success,TXN00040250
40251,30251,13847,2025-04-10,Credit Card,86932.89,Success,TXN00040251
40252,30252,14017,2026-05-30,Debit Card,923.16,Failed,TXN00040252
40253,30253,10296,2025-04-07,UPI,6003.92,Success,TXN00040253
40254,30254,12749,2025-08-25,Net Banking,48346.42,Success,TXN00040254
40255,30255,14484,2025-04-18,UPI,5042.64,Success,TXN00040255
40256,30256,11497,2026-02-02,Debit Card,60279.5,Success,TXN00040256
40257,30257,13080,2025-04-03,UPI,52856.07,Success,TXN00040257
40258,30258,11568,2025-03-26,Debit Card,65208.45,Success,TXN00040258
40259,30259,11976,2025-09-14,Credit Card,149309.48,Success,TXN00040259
40260,30260,14133,2025-12-04,UPI,92351.95,Failed,TXN00040260
40261,30261,14279,2025-06-16,UPI,29778.37,Success,TXN00040261
40262,30262,14166,2026-01-13,Credit Card,23341.2,Success,TXN00040262
40263,30263,10237,2026-07-23,Credit Card,32453.06,Failed,TXN00040263
40264,30264,10464,2025-12-28,UPI,11030.67,Failed,TXN00040264
40265,30265,14287,2026-01-12,Debit Card,36940.78,Refunded,TXN00040265
40266,30266,10930,2026-08-06,Debit Card,28787.73,Refunded,TXN00040266
40267,30267,11887,2025-05-05,Wallet,104732.53,Success,TXN00040267
40268,30268,13912,2026-08-12,UPI,220532.6,Success,TXN00040268
40269,30269,14413,2026-05-31,UPI,6432.58,Pending,TXN00040269
40270,30270,10718,2026-06-05,UPI,120675.51,Failed,TXN00040270
40271,30271,10658,2026-08-07,UPI,17905.77,Failed,TXN00040271
40272,30272,11213,2025-08-25,UPI,8643.29,Success,TXN00040272
40273,30273,13822,2025-02-03,Credit Card,137520.99,Success,TXN00040273
40274,30274,14053,2026-07-10,UPI,60728.85,Success,TXN00040274
40275,30275,12271,2026-04-25,Credit Card,13966.91,Success,TXN00040275
40276,30276,10758,2025-04-24,Debit Card,54284.6,Success,TXN00040276
40277,30277,13479,2025-06-13,Debit Card,31443.43,Refunded,TXN00040277
40278,30278,11231,2026-01-25,Credit Card,34140.12,Failed,TXN00040278
40279,30279,12974,2025-04-16,Wallet,217560.18,Success,TXN00040279
40280,30280,12448,2025-03-25,UPI,7672.46,Success,TXN00040280
40281,30281,13259,2025-08-24,Wallet,3813.73,Success,TXN00040281
40282,30282,12013,2026-04-13,UPI,23615.28,Success,TXN00040282
40283,30283,13676,2026-05-09,UPI,19292.88,Success,TXN00040283
40284,30284,10083,2026-03-30,UPI,5701.57,Success,TXN00040284
40285,30285,13763,2026-03-12,Wallet,6719.38,Success,TXN00040285
40286,30286,11401,2025-12-30,Credit Card,6678.45,Success,TXN00040286
40287,30287,10659,2026-06-25,Debit Card,20517.64,Success,TXN00040287
40288,30288,12873,2025-08-18,Wallet,10806.99,Success,TXN00040288
40289,30289,11338,2026-04-26,Debit Card,2286.51,Success,TXN00040289
40290,30290,13225,2025-12-26,Wallet,129615.48,Success,TXN00040290
40291,30291,10694,2026-05-25,Credit Card,172406.9,Success,TXN00040291
40292,30292,14328,2025-10-30,Debit Card,1337.35,Success,TXN00040292
40293,30293,11145,2026-06-16,UPI,17966.88,Success,TXN00040293
40294,30294,13257,2025-07-29,UPI,12007.73,Success,TXN00040294
40295,30295,13528,2026-02-20,Credit Card,115828.78,Success,TXN00040295
40296,30296,11853,2025-04-16,UPI,42342.66,Failed,TXN00040296
40297,30297,14484,2025-03-19,Credit Card,272861.92,Success,TXN00040297
40298,30298,12680,2026-05-04,UPI,3335.0,Success,TXN00040298
40299,30299,10864,2026-04-27,UPI,6858.32,Failed,TXN00040299
40300,30300,11250,2025-04-01,Wallet,5821.74,Refunded,TXN00040300
40301,30301,11219,2026-05-30,Wallet,87319.39,Success,TXN00040301
40302,30302,14905,2026-08-05,UPI,18288.86,Success,TXN00040302
40303,30303,11050,2026-05-21,Credit Card,4597.85,Failed,TXN00040303
40304,30304,12903,2026-07-08,Debit Card,65401.39,Success,TXN00040304
40305,30305,14633,2026-04-13,Credit Card,44112.43,Failed,TXN00040305
40306,30306,14807,2025-11-04,Net Banking,57531.48,Failed,TXN00040306
40307,30307,11495,2025-01-08,Wallet,45706.66,Success,TXN00040307
40308,30308,12337,2026-02-16,UPI,20372.48,Failed,TXN00040308
40309,30309,10368,2026-06-08,Credit Card,34104.1,Success,TXN00040309
40310,30310,10412,2025-07-14,UPI,20883.09,Success,TXN00040310
40311,30311,13094,2026-08-02,UPI,13858.64,Failed,TXN00040311
40312,30312,10354,2025-09-29,Net Banking,39402.9,Success,TXN00040312
40313,30313,11566,2025-03-07,UPI,61703.99,Success,TXN00040313
40314,30314,11339,2025-11-15,UPI,55827.72,Success,TXN00040314
40315,30315,14878,2026-03-20,UPI,63869.12,Success,TXN00040315
40316,30316,10329,2025-03-17,Credit Card,34524.11,Failed,TXN00040316
40317,30317,11494,2025-02-12,UPI,31608.32,Success,TXN00040317
40318,30318,12830,2026-03-02,Net Banking,5710.51,Failed,TXN00040318
40319,30319,11487,2026-07-05,UPI,7083.18,Success,TXN00040319
40320,30320,13736,2025-07-10,Wallet,27905.57,Success,TXN00040320
40321,30321,10738,2025-10-21,UPI,6416.37,Success,TXN00040321
40322,30322,13889,2026-07-25,UPI,151394.32,Failed,TXN00040322
40323,30323,14844,2025-08-22,Wallet,146217.68,Success,TXN00040323
40324,30324,11795,2026-01-08,Net Banking,23051.81,Success,TXN00040324
40325,30325,11303,2025-07-26,Debit Card,34004.31,Failed,TXN00040325
40326,30326,12669,2026-03-08,UPI,75046.23,Success,TXN00040326
40327,30327,14239,2026-05-20,Debit Card,3353.63,Success,TXN00040327
40328,30328,13883,2025-10-05,UPI,60665.97,Refunded,TXN00040328
40329,30329,14167,2025-10-15,UPI,74941.86,Success,TXN00040329
40330,30330,10638,2026-01-26,Credit Card,121130.9,Success,TXN00040330
40331,30331,14563,2026-02-22,UPI,20099.06,Success,TXN00040331
40332,30332,12642,2026-07-30,UPI,28299.09,Failed,TXN00040332
40333,30333,10041,2026-02-11,UPI,6334.64,Failed,TXN00040333
40334,30334,13986,2025-11-04,UPI,80180.75,Success,TXN00040334
40335,30335,12947,2025-05-05,Credit Card,21746.3,Success,TXN00040335
40336,30336,10771,2026-05-10,Debit Card,8738.28,Failed,TXN00040336
40337,30337,14375,2025-08-03,UPI,5384.3,Success,TXN00040337
40338,30338,13017,2026-06-06,UPI,120559.0,Failed,TXN00040338
40339,30339,13711,2026-04-28,UPI,9481.66,Failed,TXN00040339
40340,30340,10058,2026-02-15,Credit Card,24980.62,Failed,TXN00040340
40341,30341,14264,2026-06-05,Wallet,9398.58,Failed,TXN00040341
40342,30342,11654,2025-08-14,Credit Card,22273.3,Success,TXN00040342
40343,30343,13238,2025-08-20,UPI,74654.74,Success,TXN00040343
40344,30344,10082,2025-04-27,UPI,28276.2,Failed,TXN00040344
40345,30345,14230,2025-09-06,UPI,17568.1,Pending,TXN00040345
40346,30346,11509,2025-12-02,UPI,13930.21,Success,TXN00040346
40347,30347,10262,2025-06-25,UPI,54599.37,Refunded,TXN00040347
40348,30348,13707,2026-03-09,Debit Card,60360.6,Success,TXN00040348
40349,30349,14115,2025-01-31,UPI,3081.94,Failed,TXN00040349
40350,30350,12318,2025-03-07,UPI,14072.02,Success,TXN00040350
40351,30351,14673,2026-03-19,Debit Card,14658.98,Failed,TXN00040351
40352,30352,13803,2025-04-03,Net Banking,10885.58,Success,TXN00040352
40353,30353,12912,2025-08-10,Net Banking,82162.08,Success,TXN00040353
40354,30354,10669,2026-01-10,Debit Card,5709.53,Refunded,TXN00040354
40355,30355,11271,2025-07-08,UPI,92422.35,Success,TXN00040355
40356,30356,11735,2025-02-27,Net Banking,69896.54,Success,TXN00040356
40357,30357,13815,2025-01-25,Debit Card,112803.61,Refunded,TXN00040357
40358,30358,14020,2026-04-29,Net Banking,7068.28,Failed,TXN00040358
40359,30359,14716,2026-03-27,UPI,19069.33,Success,TXN00040359
40360,30360,13858,2026-06-15,Credit Card,107545.96,Success,TXN00040360
40361,30361,11900,2025-06-16,Credit Card,11165.54,Refunded,TXN00040361
40362,30362,12232,2026-05-20,Debit Card,27433.3,Failed,TXN00040362
40363,30363,10441,2025-02-10,UPI,22671.08,Success,TXN00040363
40364,30364,10581,2025-04-10,UPI,10162.85,Failed,TXN00040364
40365,30365,13322,2026-07-15,Net Banking,44648.46,Success,TXN00040365
40366,30366,10376,2025-01-23,Debit Card,26710.86,Failed,TXN00040366
40367,30367,13802,2026-03-29,Debit Card,378268.96,Failed,TXN00040367
40368,30368,11808,2026-01-16,UPI,63290.7,Refunded,TXN00040368
40369,30369,10729,2026-05-12,UPI,69246.47,Failed,TXN00040369
40370,30370,12438,2025-02-19,Debit Card,48796.13,Success,TXN00040370
40371,30371,14276,2025-01-16,Credit Card,240642.2,Success,TXN00040371
40372,30372,12424,2025-02-28,Wallet,177182.5,Success,TXN00040372
40373,30373,12892,2025-02-02,Net Banking,15948.84,Failed,TXN00040373
40374,30374,12377,2026-06-20,Credit Card,25562.38,Success,TXN00040374
40375,30375,11969,2025-08-19,UPI,59015.15,Success,TXN00040375
40376,30376,12248,2025-12-10,UPI,58160.31,Pending,TXN00040376
40377,30377,12744,2026-01-09,Credit Card,17257.16,Pending,TXN00040377
40378,30378,12857,2025-12-27,UPI,3792.2,Pending,TXN00040378
40379,30379,11760,2025-09-27,Debit Card,3869.14,Success,TXN00040379
40380,30380,11913,2026-02-23,UPI,14034.22,Success,TXN00040380
40381,30381,13673,2026-02-22,Wallet,220532.6,Failed,TXN00040381
